sep=,
Epoch,After_Batch,Loss
0,100,0.8385578155517578
0,200,0.710950927734375
0,300,0.5698936080932617
0,400,0.4680169677734375
0,500,0.4314718246459961
0,600,0.36543514251708986
0,700,0.3276054763793945
0,800,0.31143840789794924
0,900,0.280844612121582
0,1000,0.26736442565917967
0,1100,0.2567551803588867
0,1200,0.24295236587524413
0,1300,0.2398139190673828
0,1400,0.23916231155395506
0,1500,0.2254172706604004
0,1600,0.21784603118896484
0,1700,0.22230541229248046
0,1800,0.24132383346557618
0,1900,0.2344972038269043
0,2000,0.22491640090942383
0,2100,0.2071308708190918
0,2200,0.22098194122314452
0,2300,0.22504735946655274
0,2400,0.20461183547973633
0,2500,0.21148235321044923
0,2600,0.19586042404174805
0,2700,0.198144588470459
0,2800,0.2137523651123047
0,2900,0.19697715759277343
0,3000,0.2077951431274414
0,3100,0.1989185905456543
0,3200,0.17865726470947266
0,3300,0.2145136260986328
0,3400,0.21183807373046876
0,3500,0.1962607192993164
0,3600,0.2072496795654297
0,3700,0.19582717895507812
0,3800,0.18453561782836914
0,3900,0.18063114166259767
0,4000,0.18712427139282226
0,4100,0.17822118759155273
0,4200,0.1675745964050293
0,4300,0.15859779357910156
0,4400,0.18053131103515624
0,4500,0.19511749267578124
0,4600,0.16698093414306642
0,4700,0.17830896377563477
0,4800,0.17306379318237305
0,4900,0.1875441551208496
0,5000,0.19930784225463868
0,5100,0.1851820945739746
0,5200,0.2031756019592285
0,5300,0.1951099967956543
0,5400,0.18545869827270509
0,5500,0.19063468933105468
0,5600,0.17444490432739257
0,5700,0.17752595901489257
0,5800,0.16755050659179688
0,5900,0.19197254180908202
0,6000,0.17257795333862305
0,6100,0.18278690338134765
0,6200,0.1768954849243164
0,6300,0.18488256454467775
0,6400,0.18523090362548827
0,6500,0.17388914108276368
0,6600,0.1759589958190918
0,6700,0.17973417282104492
0,6800,0.18637506484985353
0,6900,0.18013904571533204
0,7000,0.18390974044799804
0,7100,0.18610376358032227
0,7200,0.158186616897583
0,7300,0.15082268714904784
0,7400,0.15843361854553223
0,7500,0.16129110336303712
0,7600,0.1528612518310547
0,7700,0.17398361206054688
0,7800,0.17280410766601562
0,7900,0.16400257110595703
0,8000,0.1597040367126465
0,8100,0.20381759643554687
0,8200,0.16015932083129883
0,8300,0.17942428588867188
0,8400,0.16187400817871095
0,8500,0.19407182693481445
0,8600,0.1941214942932129
0,8700,0.1522967052459717
0,8800,0.16833288192749024
0,8900,0.14936100959777832
0,9000,0.15926753997802734
0,9100,0.17107017517089843
0,9200,0.16957992553710938
0,9300,0.18032154083251953
0,9400,0.1540693473815918
0,9500,0.1585575294494629
0,9600,0.14835620880126954
0,9700,0.1631375503540039
0,9800,0.13838804244995118
0,9900,0.1488500690460205
0,10000,0.1543552589416504
0,10100,0.14957385063171386
0,10200,0.17109260559082032
0,10300,0.18530855178833008
0,10400,0.18740734100341797
0,10500,0.17746879577636718
0,10600,0.16883773803710939
0,10700,0.16470712661743164
0,10800,0.19343549728393555
0,10900,0.18659805297851562
0,11000,0.13997380256652833
0,11100,0.19788959503173828
0,11200,0.16043582916259766
0,11300,0.16680198669433594
0,11400,0.1647731590270996
0,11500,0.18718725204467773
0,11600,0.15807366371154785
0,11700,0.18969305038452147
0,11800,0.15862293243408204
0,11900,0.17559606552124024
0,12000,0.17185535430908203
0,12100,0.1645413589477539
0,12200,0.1494409942626953
0,12300,0.15060436248779296
0,12400,0.1595305061340332
0,12500,0.14514202117919922
0,12600,0.12550068855285645
0,12700,0.1391290855407715
0,12800,0.1544744873046875
0,12900,0.16725606918334962
0,13000,0.17615270614624023
0,13100,0.17146827697753905
0,13200,0.174794921875
0,13300,0.16938217163085936
0,13400,0.20023370742797852
0,13500,0.16981643676757813
0,13600,0.1730271339416504
0,13700,0.163410701751709
0,13800,0.15716637611389161
0,13900,0.16190046310424805
0,14000,0.15545138359069824
0,14100,0.18300840377807617
0,14200,0.18749452590942384
0,14300,0.16500492095947267
0,14400,0.15796896934509277
0,14500,0.1735422706604004
0,14600,0.1831086730957031
0,14700,0.1674012565612793
0,14800,0.16784555435180665
0,14900,0.16077230453491212
0,15000,0.1722841453552246
0,15100,0.14216190338134765
0,15200,0.1501173496246338
0,15300,0.14126492500305177
0,15400,0.18439653396606445
0,15500,0.14805767059326172
0,15600,0.17721378326416015
0,15700,0.14389053344726563
0,15800,0.1517233943939209
0,15900,0.16160758972167968
0,16000,0.16712360382080077
0,16100,0.17850028991699218
0,16200,0.15414219856262207
0,16300,0.17788925170898437
0,16400,0.15713336944580078
0,16500,0.16593616485595702
0,16600,0.17553802490234374
0,16700,0.13724967002868652
0,16800,0.14994973182678223
0,16900,0.14350033760070802
0,17000,0.14607523918151855
0,17100,0.14601696968078615
0,17200,0.1499510669708252
0,17300,0.14677821159362792
0,17400,0.18955514907836915
0,17500,0.17580068588256836
0,17600,0.1622906494140625
0,17700,0.15583036422729493
0,17800,0.1931285095214844
0,17900,0.14731414794921874
0,18000,0.17339887619018554
0,18100,0.15514013290405274
0,18200,0.15682010650634765
0,18300,0.14823026657104493
0,18400,0.1704481315612793
0,18500,0.16193723678588867
0,18600,0.14064013481140136
0,18700,0.16810121536254882
0,18800,0.1423637294769287
0,18900,0.166905517578125
0,19000,0.16185869216918947
0,19100,0.15413636207580567
0,19200,0.18356414794921874
0,19300,0.14886018753051758
0,19400,0.17969572067260742
0,19500,0.14729744911193848
0,19600,0.1258190631866455
0,19700,0.15496717453002928
0,19800,0.15388812065124513
0,19900,0.1444042682647705
0,20000,0.1549656295776367
0,20100,0.1598970127105713
0,20200,0.15847301483154297
0,20300,0.14624972343444825
0,20400,0.15281573295593262
0,20500,0.17019153594970704
0,20600,0.16842880249023437
0,20700,0.1489847469329834
0,20800,0.12861827850341798
0,20900,0.1804800224304199
0,21000,0.16056243896484376
0,21100,0.1864790153503418
0,21200,0.15443817138671875
0,21300,0.17812522888183593
0,21400,0.14797739028930665
0,21500,0.15687374114990235
0,21600,0.1368399429321289
0,21700,0.1374657917022705
0,21800,0.13807790756225585
0,21900,0.16726318359375
0,22000,0.15206591606140138
0,22100,0.17136528015136718
0,22200,0.13193239212036134
0,22300,0.1405520534515381
0,22400,0.1613756561279297
0,22500,0.15334041595458983
0,22600,0.15031173706054687
0,22700,0.1478067684173584
0,22800,0.14473427772521974
0,22900,0.1750792121887207
0,23000,0.17228431701660157
0,23100,0.17158632278442382
0,23200,0.1584477138519287
0,23300,0.16008590698242187
0,23400,0.15855054855346679
0,23500,0.16495193481445314
0,23600,0.1563821792602539
0,23700,0.17836652755737303
0,23800,0.14922717094421387
0,23900,0.152083740234375
0,24000,0.1485288906097412
0,24100,0.17806785583496093
0,24200,0.14784635543823244
0,24300,0.15650117874145508
0,24400,0.14448183059692382
0,24500,0.15222900390625
0,24600,0.1349564552307129
0,24700,0.14877476692199706
0,24800,0.1593492603302002
0,24900,0.1471695327758789
0,25000,0.13031146049499512
0,25100,0.12551196098327635
0,25200,0.10596059799194336
0,25300,0.1405373477935791
0,25400,0.16020433425903322
0,25500,0.1897323989868164
0,25600,0.1557902240753174
0,25700,0.17270469665527344
0,25800,0.17858938217163087
0,25900,0.15713682174682617
0,26000,0.1510859203338623
0,26100,0.1833805274963379
0,26200,0.16331731796264648
0,26300,0.1528872299194336
0,26400,0.1604931640625
0,26500,0.16333335876464844
0,26600,0.15652368545532228
0,26700,0.15766767501831055
0,26800,0.16489189147949218
0,26900,0.15794824600219726
0,27000,0.1476338577270508
0,27100,0.12026474952697754
0,27200,0.13732285499572755
0,27300,0.15271082878112793
0,27400,0.12454184532165527
0,27500,0.13315256118774413
0,27600,0.1344749355316162
0,27700,0.14168622016906737
0,27800,0.16035961151123046
0,27900,0.1556335735321045
0,28000,0.13710421562194824
0,28100,0.1775701141357422
0,28200,0.1497211456298828
0,28300,0.16549112319946288
0,28400,0.17161888122558594
0,28500,0.16447021484375
0,28600,0.16886693954467774
0,28700,0.16435958862304687
0,28800,0.15329151153564452
0,28900,0.1454067897796631
0,29000,0.14198208808898927
0,29100,0.1604963493347168
0,29200,0.14112513542175292
0,29300,0.17325613021850586
0,29400,0.14886116981506348
0,29500,0.15569730758666991
0,29600,0.13856616973876953
0,29700,0.16970235824584962
0,29800,0.16170351028442384
0,29900,0.1601972007751465
0,30000,0.15400148391723634
0,30100,0.15257012367248535
0,30200,0.1534627914428711
0,30300,0.14664870262145996
0,30400,0.1752947425842285
0,30500,0.14951489448547364
0,30600,0.15668925285339355
0,30700,0.1742287063598633
0,30800,0.1607081985473633
0,30900,0.16241413116455078
0,31000,0.16310556411743163
0,31100,0.14144769668579102
0,31200,0.18532247543334962
0,31300,0.131917085647583
0,31400,0.1394922351837158
0,31500,0.1720958709716797
0,31600,0.1562131977081299
0,31700,0.16628141403198243
0,31800,0.14550385475158692
0,31900,0.1496711254119873
0,32000,0.16949115753173827
0,32100,0.1546805191040039
0,32200,0.15314151763916015
0,32300,0.12904139518737792
0,32400,0.13771919250488282
0,32500,0.13614502906799317
0,32600,0.16357744216918946
0,32700,0.15326610565185547
0,32800,0.1426179027557373
0,32900,0.15057367324829102
0,33000,0.10675749778747559
0,33100,0.153449649810791
0,33200,0.16564273834228516
0,33300,0.14079615592956543
0,33400,0.14307815551757813
0,33500,0.1677529716491699
0,33600,0.16412647247314452
0,33700,0.17307332992553712
0,33800,0.15713194847106934
0,33900,0.13841370582580567
0,34000,0.13440004348754883
0,34100,0.12074825286865234
0,34200,0.131630802154541
0,34300,0.13495980262756346
0,34400,0.15457341194152832
0,34500,0.14518989562988283
0,34600,0.15756468772888182
0,34700,0.15938406944274902
0,34800,0.15749261856079103
0,34900,0.13857531547546387
0,35000,0.13762813568115234
0,35100,0.16811622619628908
0,35200,0.1361076831817627
0,35300,0.14657209396362306
0,35400,0.17010799407958985
0,35500,0.13594303131103516
0,35600,0.14571417808532716
0,35700,0.15356496810913087
0,35800,0.15027976036071777
0,35900,0.1537596893310547
0,36000,0.13528379440307617
0,36100,0.14186326980590822
0,36200,0.14119205474853516
0,36300,0.13994425773620606
0,36400,0.13890816688537597
0,36500,0.17693504333496093
0,36600,0.14019460678100587
0,36700,0.15428275108337403
0,36800,0.135466833114624
0,36900,0.15233392715454103
0,37000,0.12141829490661621
0,37100,0.14838825225830077
0,37200,0.1365674591064453
0,37300,0.1480589199066162
0,37400,0.16373205184936523
0,37500,0.14193869590759278
0,37600,0.16157670974731445
0,37700,0.15317634582519532
0,37800,0.14415313720703124
0,37900,0.1437681007385254
0,38000,0.16103404998779297
0,38100,0.14137842178344726
