sep=,
Epoch,After_Batch,Loss
0,100,0.7037320709228516
0,200,0.6425409698486328
0,300,0.47271053314208983
0,400,0.20971958160400392
0,500,0.19373506546020508
0,600,0.15015175819396973
0,700,0.15488529205322266
0,800,0.16371835708618165
0,900,0.1321553134918213
0,1000,0.14770037651062012
0,1100,0.14274580001831055
0,1200,0.15328941345214844
0,1300,0.13072343826293945
0,1400,0.14172099113464356
0,1500,0.11030104637145996
0,1600,0.1139478874206543
0,1700,0.1191965389251709
0,1800,0.13181740760803223
0,1900,0.15063262939453126
0,2000,0.13201952934265138
0,2100,0.115419921875
0,2200,0.12599030494689942
0,2300,0.12034034729003906
0,2400,0.09563966751098633
0,2500,0.11160767555236817
0,2600,0.10653616905212403
0,2700,0.10674384117126465
0,2800,0.11752046585083008
0,2900,0.11950179100036622
0,3000,0.12332979202270508
0,3100,0.09713376998901367
0,3200,0.10263483047485351
0,3300,0.12905384063720704
0,3400,0.12980987548828124
0,3500,0.08871768951416016
0,3600,0.10024373054504394
0,3700,0.11456118583679199
0,3800,0.11417314529418945
0,3900,0.08478331565856934
0,4000,0.10872357368469238
0,4100,0.1021441650390625
0,4200,0.09408869743347167
0,4300,0.05864445209503174
0,4400,0.10682120323181152
0,4500,0.11036637306213379
0,4600,0.08526208877563476
0,4700,0.09774904251098633
0,4800,0.0875154685974121
0,4900,0.09987568855285645
0,5000,0.08711666107177735
0,5100,0.08746479034423828
0,5200,0.09722895622253418
0,5300,0.0888505744934082
0,5400,0.0994700813293457
0,5500,0.09580743789672852
0,5600,0.09966118812561035
0,5700,0.08428462982177734
0,5800,0.08135588645935059
0,5900,0.0954265308380127
0,6000,0.09035383224487305
0,6100,0.10106706619262695
0,6200,0.0754316806793213
0,6300,0.0724174165725708
0,6400,0.1065235424041748
0,6500,0.09771181106567382
0,6600,0.07546690940856933
0,6700,0.08661256790161133
0,6800,0.06992107391357422
0,6900,0.08937503814697266
0,7000,0.07850250720977783
0,7100,0.09120721817016601
0,7200,0.07798507213592529
0,7300,0.07118425846099853
0,7400,0.06765522956848144
0,7500,0.07932719230651855
0,7600,0.07344456672668458
0,7700,0.09604070663452148
0,7800,0.08416401863098144
0,7900,0.08133008003234864
0,8000,0.08400025367736816
0,8100,0.0787548828125
0,8200,0.07366772174835205
0,8300,0.08819948196411133
0,8400,0.081362886428833
0,8500,0.08240487098693848
0,8600,0.08224849700927735
0,8700,0.08423899650573731
0,8800,0.06555196285247802
0,8900,0.07105896949768066
0,9000,0.07243346691131591
0,9100,0.07655426025390626
0,9200,0.08203471183776856
0,9300,0.07233751296997071
0,9400,0.0696269178390503
0,9500,0.0970524501800537
0,9600,0.074704008102417
0,9700,0.07807664394378662
0,9800,0.08019346237182617
0,9900,0.07131788730621338
0,10000,0.06427319526672363
0,10100,0.08313349723815917
0,10200,0.08285694122314453
0,10300,0.07467676162719726
0,10400,0.09433770179748535
0,10500,0.09012714385986328
0,10600,0.09914478302001953
0,10700,0.07189225673675537
0,10800,0.089871244430542
0,10900,0.07844991207122803
0,11000,0.07248258113861084
0,11100,0.07019089698791504
0,11200,0.07124924182891845
0,11300,0.07125617027282714
0,11400,0.09297532081604004
0,11500,0.06967326164245606
0,11600,0.07524301052093506
0,11700,0.07291449546813965
0,11800,0.08960499763488769
0,11900,0.08431249618530273
0,12000,0.06644444465637207
0,12100,0.060990424156188966
0,12200,0.06177396297454834
0,12300,0.06349311828613281
0,12400,0.07508951187133789
0,12500,0.06709080219268798
0,12600,0.05285161972045899
0,12700,0.06593786716461182
0,12800,0.05424763679504394
0,12900,0.07558573246002197
0,13000,0.0657053804397583
0,13100,0.0856889820098877
0,13200,0.09522578239440918
0,13300,0.07907115459442139
0,13400,0.08196741104125976
0,13500,0.08154974937438965
0,13600,0.08355643272399903
0,13700,0.07873680114746094
0,13800,0.058144516944885254
0,13900,0.06531018733978272
0,14000,0.08361687660217285
0,14100,0.05999582290649414
0,14200,0.09519084930419922
0,14300,0.07890671253204345
0,14400,0.09286619186401367
0,14500,0.07246485710144043
0,14600,0.07463624000549317
0,14700,0.08863835334777832
0,14800,0.06712733268737793
0,14900,0.06318655490875244
